"Reference","Qty","Value","Footprint","Manufacturer","Manufacturer PN","PCB footprint","Specification"
"CN1","1","~","bldc_1:TH_L2"," PHOENIX CONTACT","1929180","TH_L2","400V, 24A"
"C66","1","0.1uF","","Murata Electronics","GCM188R71H104KA57D","C0603","0.1uF, 50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C65","1","4.7uF","","Murata Electronics","GRM31CR71H475KA12L","C1206","50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C64","1","4.7uF","","Murata Electronics","GRM31CR71H475KA12L","C1206","50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C63","1","0.1uF","","Murata Electronics","GCM188R71H104KA57D","C0603","0.1uF, 50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C62","1","0.1uF","","Murata Electronics","GCM188R71H104KA57D","C0603","0.1uF, 50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C61","1","0.1uF","","Murata Electronics","GCM188R71H104KA57D","C0603","0.1uF, 50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C60","1","4.7uF","","Murata Electronics","GRM31CR71H475KA12L","C1206","50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C59","1","4.7uF","","Murata Electronics","GRM31CR71H475KA12L","C1206","50Vdc, 10% tolerance, -55 deg C to +125 deg C"
"C58","1","0.1uF","","Murata Electronics","GCM188R71H104KA57D","C0603","0.1uF, 50Vdc, 10% tolerance, -55 deg C to +125 deg C"
